date,position,country,song,winning chance,BET365,UNIBET,COOL BET,SKY BET,BOYLE SPORTS, BETSSON ,LAD BROKES,BET STARS,BETFAIR SPORT,COMEON, * SMARKETS,BET FRED,10BET,BETWAY, WILLIAM  HILL,BWIN,BETFAIR*  EXCHANGE 
2023-04-14,1,Sweden,Loreen - Tattoo,40%,1.8,1.83,1.85,1.91,1.8,1.85,1.8,1.83,1.83,1.83,1.93,1.91,1.83,1.91,1.83,1.8,1.99
2023-04-14,2,Finland,Käärijä - Cha Cha Cha,16%,5,4.5,4.3,5,4.5,4.5,5,4.5,5,4,5.8,5,4,4.5,5,5,6
2023-04-14,3,Ukraine,Tvorchi - Heart of Steel,10%,7,8,7.5,9,8,8,6,6.5,6,6.5,7.8,7,6.5,9,6,8,10
2023-04-14,4,Norway,Alessandra - Queen of Kings,5%,15,11,15,13,15,12,15,13,13,13,19,13,13,13,13,15,23
2023-04-14,5,Spain,Blanca Paloma - Eaea,5%,13,13,15,15,15,15,13,17,17,13,16,13,13,13,13,13,17
2023-04-14,6,Israel,Noa Kirel - Unicorn,3%,26,26,23,21,21,25,21,26,21,21,26,21,21,26,21,26,34
2023-04-14,7,Austria,Teya & Salena - Who The Hell Is Edgar?,3%,26,31,29,29,26,25,29,26,31,29,34,26,29,26,29,21,38
2023-04-14,8,Czechia,Vesna - My Sister's Crown,2%,31,51,41,51,34,30,29,23,23,26,50,26,26,29,26,26,65
2023-04-14,9,France,La Zarra - Évidemment,2%,34,41,41,41,34,35,34,26,26,34,48,26,34,34,26,34,60
2023-04-14,10,United Kingdom,Mae Muller - I Wrote A Song,2%,46,76,61,41,34,60,34,41,31,34,50,41,34,34,26,34,75
2023-04-14,11,Italy,Marco Mengoni - Due vite,1%,71,51,81,67,51,60,51,67,67,51,75,51,51,67,41,51,80
2023-04-14,12,Armenia,Brunette - Future Lover,1%,71,67,81,101,67,80,67,67,67,67,90,67,67,67,67,67,110
2023-04-14,13,Switzerland,Remo Forrer - Watergun,1%,126,101,101,126,81,100,81,101,81,81,220,67,81,81,67,101,150
2023-04-14,14,Netherlands,Nicolai & Cooper - Burning Daylight,1%,81,101,81,126,126,100,151,101,126,101,180,101,101,151,67,101,180
2023-04-14,15,Georgia,Iru - Echo,1%,201,101,126,151,101,150,67,101,81,81,270,101,81,101,67,101,410
2023-04-14,16,Serbia,Luke Black - Samo mi se spava,1%,126,101,126,151,101,125,81,151,101,101,210,101,101,101,101,101,200
2023-04-14,17,Croatia,Let 3 - Mama ŠČ!,1%,151,126,151,201,101,150,101,151,101,101,240,101,101,101,101,101,230
2023-04-14,18,Australia,Voyager - Promise,1%,151,151,126,151,126,150,151,101,101,101,270,101,101,126,101,101,240
2023-04-14,19,Moldova,Pasha Parfeni - Soarele și Luna,1%,201,126,126,151,126,150,101,151,101,101,270,101,101,126,101,101,350
2023-04-14,20,Germany,Lord Of The Lost - Blood & Glitter,<1%,151,201,151,151,151,150,101,151,101,151,270,201,151,151,101,101,240
2023-04-14,21,Slovenia,Joker Out - Carpe Diem,<1%,201,126,151,201,201,200,101,151,126,101,270,201,101,101,126,101,250
2023-04-14,22,Estonia,Alika - Bridges,<1%,251,151,151,201,151,150,201,201,151,151,270,201,151,201,151,101,400
2023-04-14,23,Ireland,Wild Youth - We Are One,<1%,251,351,301,301,81,250,151,151,91,151,280,126,151,201,101,101,760
2023-04-14,24,Cyprus,A. Lambrou - Break a Broken Heart,<1%,201,201,201,201,201,200,201,201,201,201,280,201,201,201,251,101,380
2023-04-14,25,Poland,Blanka - Solo,<1%,251,251,251,251,151,150,201,201,201,201,300,201,201,151,201,101,440
2023-04-14,26,Iceland,Diljá - Power,<1%,251,251,251,251,201,150,201,201,201,201,290,201,201,151,201,101,950
2023-04-14,27,Portugal,Mimicat - Ai Coração,<1%,251,251,301,301,201,250,201,201,151,201,280,201,201,201,151,101,450
2023-04-14,28,Denmark,Reiley - Breaking My Heart,<1%,251,276,301,301,251,250,201,201,201,201,290,201,201,201,201,101,1000
2023-04-14,29,Greece,Victor Vernicos - What They Say,<1%,251,301,251,301,251,250,201,201,201,201,280,201,201,201,251,101,860
2023-04-14,30,Azerbaijan,TuralTuranX - Tell Me More,<1%,251,301,301,501,251,250,201,251,251,151,290,201,151,151,251,101,1000
2023-04-14,31,Belgium,Gustaph - Because of You,<1%,251,351,301,301,251,250,201,251,201,251,290,201,251,251,201,101,1000
2023-04-14,32,Lithuania,Monika Linkytė - Stay,<1%,201,201,251,501,251,250,201,251,251,251,290,201,251,251,251,101,820
2023-04-14,33,Malta,The Busker - Dance (Our Own Party),<1%,251,351,301,501,251,250,201,251,201,201,290,201,201,251,201,101,1000
2023-04-14,34,San Marino,Piqued Jacks - Like An Animal,<1%,251,351,301,501,251,250,251,251,151,251,290,201,251,301,151,101,1000
2023-04-14,35,Latvia,Sudden Lights - Aijā,<1%,251,501,301,501,251,250,251,251,251,251,290,201,251,201,251,101,1000
2023-04-14,36,Romania,Theodor Andrei - D.G.T. (Off and On),<1%,301,501,301,501,251,300,251,251,201,251,290,201,251,301,201,301,1000
2023-04-14,37,Albania,Albina & Familja Kelmendi - Duje,<1%,301,501,301,501,251,300,251,251,251,251,290,201,251,301,251,301,1000
